Label,Count
Melanodryas cucullata_Hooded Robin,138
Megalurus timoriensis_Tawny Grassbird,145
Megaloprepia magnifica_Wompoo Fruit-Dove,184
Manorina melanocephala_Noisy Miner,304
Manorina flavigula_Yellow-Throated Miner,174
Malurus splendens_Spendid Fairywren,81
Malurus leucopterus_White-Winged Fairywren,306
Malurus lamberti_Variegated Fairywren,128
Malurus cyaneus_Superb Fairywren,175
Malurus assimilis_Purple-backed Fairywren,128
Malacorhynchus membranaceus_Pink-eared Duck,143
Macropygia phasianella_Brown Cuckoo-Dove,297
Litoria verreauxii_Whistling Tree Frog,77
Litoria tyleri_Tyler's Tree Frog,116
Litoria revelata_Southern Whirring Tree Frog,106
Litoria peronii_Peron's Tree Frog,240
Litoria lesueuri_Lesueurs Frog,28
Litoria latopalmata_Broad-palmed Rocket Frog,147
Litoria freycineti_Wallum Rocket Frog,50
Litoria fallax_Dwarf Tree Frog,28
Limnodynastes tasmaniensis_Spotted Marsh Frog,104
Limnodynastes peronii_Striped Marsh Frog,169
Limnodynastes grayi_Scarlet-sided Banjo Frog,95
Limnodynastes dumerilii_Eastern Banjo Frog,179
Lichmera indistincta_Brown Honeyeater,211
Lichenostomus virescens_Singing Honeyeater,289
Lewinia pectoralis_Lewin's Rail,288
Leucosarcia melanoleuca_Wonga Pigeon,152
Lalage tricolor_White-winged Triller,236
Icthyophaga leucogaster_White-bellied Sea Eagle,226
Homo sapiens_Siren,210
Homo sapiens_Power Tools and Machinery,307
Homo sapiens_Music,153
Homo sapiens_Human Voice,310
Homo sapiens_Guns and Fireworks,79
Homo sapiens_Engines,307
Hirundo neoxena_Welcome Swallow,236
Hirundapus caudacutus_White-throated Needletail,164
Himantopus leucocephalus_Pied Stilt,164
Hieraaetus morphnoides_Little Eagle,158
Heteroscenes pallidus_Pallid Cuckoo,326
Henicopsaltria eydouxii_Razor Grinder,316
Haliastur sphenurus_Whistling Kite,164
Gymnorhina tibicen_Australian Magpie,325
Gryllotalpa pluvialis_Chirping Mole Cricket,310
Gryllotalpa monanka_Dark Night Mole Cricket,64
Gryllotalpa australis_Southern Mole Cricket,183
Gryllodes sigillatus_Indian House Cricket,44
Grallina cyanoleuca_Magpie-lark,249
Glossopsitta concinna_Musk Lorikeet,298
Glareola isabella_Australian Pratincole,147
Gerygone olivacea_White-throated Gerygone,204
Gerygone mouki_Brown Gerygone,312
